test,name,threshold,sample,sessions,estimate,hac_ci_low,hac_ci_high,hac_p,block_ci_low,block_ci_high,expected_direction,direction_matches
T1,mean: new − already known,0.4,sensitivity,2136,-0.02120829175666574,-0.04063710207071121,-0.0017794814426202732,0.03239707664176234,-0.03995064385727917,-0.003136923881739194,positive,False
T1,mean: new − already known,0.5,primary,1920,-0.015194998752729973,-0.03980224965643877,0.009412252150978823,0.22617167709107233,-0.038968378041861054,0.008704973657957272,positive,False
T1,mean: new − already known,0.6,sensitivity,1443,-0.01118782989525533,-0.0456107584033699,0.023235098612859238,0.5241184439937248,-0.0466599567878186,0.023282096857438723,positive,False
T1,mean: new − already known,0.8,sensitivity,583,-0.009569173840861239,-0.08285616629827104,0.06371781861654856,0.798016520208588,-0.09575115713189465,0.07219300704434946,positive,False
T2,negative share: new − already known,0.4,sensitivity,2136,-0.035604299749271866,-0.06402588829314365,-0.007182711205400084,0.014077231011386604,-0.06529673543815395,-0.006968665443654068,negative,True
T2,negative share: new − already known,0.5,primary,1920,-0.04223532743922574,-0.08206952479379027,-0.00240113008466121,0.03769951364517306,-0.08109423953581853,-0.005297640259605788,negative,True
T2,negative share: new − already known,0.6,sensitivity,1443,-0.030979753087966175,-0.08156368703144284,0.0196041808555105,0.22999748954286436,-0.08328342070045082,0.02251806882208624,negative,True
T2,negative share: new − already known,0.8,sensitivity,583,-0.011529833642745256,-0.10879745111823452,0.08573778383274402,0.8162827262794846,-0.11799956038411936,0.083793854288819,negative,True
T3,already-known share beyond frozen regressors,0.4,sensitivity,2263,-0.00828390313857032,-0.012613396637861402,-0.003954409639279239,0.00017674481507921528,-0.012617237373192645,-0.003791267563825009,none,True
T3,already-known share beyond frozen regressors,0.5,primary,2263,-0.008815173501900888,-0.013871924532854662,-0.0037584224709471137,0.0006338410409233897,-0.01422478304890109,-0.0034312589287715297,none,True
T3,already-known share beyond frozen regressors,0.6,sensitivity,2263,-0.009242197504695232,-0.015588762447836805,-0.0028956325615536608,0.004314517609448312,-0.015588296449357313,-0.002877161948210791,none,True
T3,already-known share beyond frozen regressors,0.8,sensitivity,2253,-0.009377990382773968,-0.01962938354257483,0.000873402777026893,0.07297642642452473,-0.018626737119998706,0.00028240300852048415,none,True
