book,cost_bps_per_side,mean_net_bps,sharpe_net
B1 raw known_share,0.0,1.2961962381118948,1.0403245035991926
B1 raw known_share,1.0,-0.050578759416167976,-0.04059555870071792
B1 raw known_share,2.0,-1.3973537569442307,-1.121531347456998
B1 raw known_share,5.0,-5.43767874952842,-4.363121012325556
B1 raw known_share,10.0,-12.171553737168734,-9.753868271136628
B2 conditional residual,0.0,0.7463199108562669,0.7074040598989431
B2 conditional residual,1.0,-0.7717082129382017,-0.7314164027385697
B2 conditional residual,2.0,-2.28973633673267,-2.1699580276633137
B2 conditional residual,5.0,-6.843820708116078,-6.482444762534136
B2 conditional residual,10.0,-14.43396132708842,-13.650724909643237
