variant,contrast,point,lo,hi,below
v1,d_news_vs_price,-0.0097181788080766,-0.0177487726841814,-0.0038607987074868,1.0
v1,d_semantic,-0.0003066780683625,-0.0022487708497162,0.0013155997661309,0.6005
v1,d_tone_given_intensity,0.0002737784892371,-0.0006088459900408,0.0016267041768125,0.369
price_only,d_news_vs_price,-0.0103995324641863,-0.0198639756316152,-0.003642125136791,1.0
price_only,d_semantic,-0.0004639371170374,-0.0026196719540791,0.0012932063591884,0.648
price_only,d_tone_given_intensity,0.0004293302344378,-0.000583529897125,0.0021225268269057,0.3245
refit_only,d_news_vs_price,-0.0089357099900056,-0.0171392907081335,-0.0029495520809588,1.0
refit_only,d_semantic,-0.0003514336031895,-0.0022836947787442,0.0012842882708412,0.6155
refit_only,d_tone_given_intensity,0.0003071378735842,-0.0005842288060091,0.0016988669862907,0.354
v2,d_news_vs_price,-0.0096041481961853,-0.0193001996815575,-0.0027537912118036,1.0
v2,d_semantic,-0.0005105692244786,-0.0026641056356904,0.0012534495421032,0.671
v2,d_tone_given_intensity,0.0004712007277464,-0.0005505787703492,0.0022027359601865,0.316
