signals,size,development_sharpe,development_sharpe_standard_error,development_mean_daily_return,development_daily_volatility,evaluation_sharpe,evaluation_sharpe_standard_error
headline/actionable_sentiment_all,1,-0.4598238588880356,1.722193263017698,-0.00013216267259503548,0.004562654471271242,-1.4036015380369669,2.5802134175234723
headline/sentiment_all,1,1.2739597659227422,1.7246022107161407,0.00040281869735377926,0.005019427419074664,0.5760561649093326,2.5760328554651477
headline/sentiment_non_reuters,1,1.0774383005350952,1.723813954222814,0.000349981137906278,0.005156470049395193,0.10577650175788587,2.575213809897826
headline/sentiment_reuters,1,-0.4494562197338631,1.722177163280892,-8.744346488348531e-05,0.0030884475733343295,-1.657330084782307,2.582192925163061
llm/finbert,1,0.7064933971675242,1.722684520843663,0.00021709715836115066,0.004878050611642556,1.1783917251865554,2.5787303257355676
llm/gemma-4-31b,1,0.2568513931569123,1.7219448181330022,6.88717621405478e-05,0.004256567645728868,-0.5323521175313883,2.5759091363332804
llm/vader,1,0.6613360463497473,1.7225790605371893,0.0002414164054357921,0.005794885441854082,0.5720143014280418,2.576021004432382
headline/actionable_sentiment_all|headline/sentiment_all,2,0.46907238373928883,1.7222079346022598,0.00013532801237937182,0.004579816828979935,-0.39073127609924035,2.5755752319426324
headline/actionable_sentiment_all|headline/sentiment_non_reuters,2,0.37327369814381955,1.7220701175410367,0.00010890923265562104,0.004631669681285078,-0.6613659939405833,2.5763024426541112
headline/actionable_sentiment_all|headline/sentiment_reuters,2,-0.527903381845025,1.7223080990696646,-0.00010980306873926042,0.0033018725365290226,-1.7569457069510614,2.5830593301079148
headline/actionable_sentiment_all|llm/finbert,2,0.16672156287851458,1.721879609236113,4.246724288305759e-05,0.004043547634579939,-0.13134192419843116,2.575229296640787
headline/actionable_sentiment_all|llm/gemma-4-31b,2,-0.12981759736087356,1.7218609163764116,-3.164545522724389e-05,0.003869706712748835,-0.9968833386848708,2.577722823057682
headline/actionable_sentiment_all|llm/vader,2,0.20074739668561606,1.721900966471916,5.46268664203783e-05,0.004319730342827064,-0.36312683018046066,2.5755220755749004
headline/sentiment_all|headline/sentiment_non_reuters,2,1.1776280962506973,1.7241994014837543,0.00037639991763002847,0.005073896820523462,0.3435738761290809,2.5754867782318005
headline/sentiment_all|headline/sentiment_reuters,2,0.7079633944150069,1.7226880707843015,0.00015768761623514705,0.003535794822308797,-0.16779828206012187,2.5752571569688416
headline/sentiment_all|llm/finbert,2,1.0835069267814215,1.7238363291701915,0.000309957927857465,0.004541207298636053,0.8974179744001951,2.577241893301668
headline/sentiment_all|llm/gemma-4-31b,2,0.884282463116986,1.7231673222408448,0.00023584522974716345,0.004233858649276438,0.03527915854153127,2.5751884055219283
