timestamp,request_date,request_start,request_end,company_symbol,ric,query,storyId,story_type,sourceCode,headline,story_error,clean_text,clean_text_sha256,cleaning_quality,cleaning_detail,original_chars,cleaned_chars,removed_trailing_lines,cleaner_version,article_story_type,usable_article
2026-06-11 23:47:23.000,2026-06-11,2026-06-11T00:00:00,2026-06-11T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:social:20260611:nTWT1wqgDp:1,social,NS:X,"@charliebilello: Retweeted @charliebilello: 5 out of the 7 stocks in the Magnificent Seven have actually underperformed the S&P 500 since the start of 2025, a very different picture than 2023-2024.

Only Google and Nvidia have outperformed. https://t.co/8p0q4Zw8mo",,"Charlie Bilello

@charliebilello

Retweeted

@charliebilello

5 out of the 7 stocks in the Magnificent Seven have actually underperformed the S&P 500 since the start of 2025, a very different picture than 2023-2024.

Only Google and Nvidia have outperformed.

pic.x.com/8p0q4Zw8mo",eb09ebfcd23d98449cdbc684b0f13ff4e2a1c63aa4d7058e49a272d414059560,ok,,6094,280,0,week4_lseg_html_v1,False,False
2026-06-11 23:46:35.000,2026-06-11,2026-06-11T00:00:00,2026-06-11T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:social:20260611:nTWT2Yw0g4:1,social,NS:X,"@tomkeene: read, consider each and every word. @RealJimChanos, tomorrow. https://t.co/GzNQah8HkW | @DA_Stockman The AI Bubble---Enron Redux or the Mother Of All Financial Circle Jerks.

by George Noble
The Noble Update
NVIDIA IS BUYING ITS OWN CHIPS AND CALLING IT REVENUE

And your retirement account is secretly holding the bag.

This scheme is literally straight out of the Enron",,"tom keene

@tomkeene

read, consider each and every word.

@RealJimChanos

, tomorrow.

x.com/da_stockman/st…

David Stockman

@DA_Stockman

The AI Bubble---Enron Redux or the Mother Of All Financial Circle Jerks.

by George Noble

The Noble Update

NVIDIA IS BUYING ITS OWN CHIPS AND CALLING IT REVENUE

And your retirement account is secretly holding the bag.

This scheme is literally straight out of the Enron",bbc9fdfc696ac12bed496e3262354e309976e236dd31cda103499e524db869d6,ok,,10185,413,0,week4_lseg_html_v1,False,False
2026-06-11 23:37:44.138,2026-06-11,2026-06-11T00:00:00,2026-06-11T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260611:nNRA0usqa9:0,newsroom,NS:GLORDP,"June 06, 2026: Crusoe Expands GPU Deployments, Leverages NVIDIA Optimizations for AI",,"On 9th June 2026, Crusoe described a week marked by technical updates, ecosystem outreach and rapid hiring as it deepens its focus on AI infrastructure. Crusoe said it is running NVIDIA HGX H200 and HGX B200 systems in production and has identified host memory overhead tied to NIXL and UCX behavior, with upstream changes NIXL 1.2 and UCX 1.21 that the company says can cut host memory usage by up to 75% in certain configurations. The company argues these optimizations help Crusoe become an early detector of performance bottlenecks in NVIDIA based stacks and a contributor to the broader GPU software ecosystem, potentially improving resource utilization and cost profiles for performance sensitive AI and HPC users. On the product side, Crusoe expanded its Intelligence Foundry platform to support Nemotron 3 Ultra for long running autonomous agents in coding, research and enterprise automation, featuring a Hybrid Transformer MoE architecture, a 1M-token context window, and NVIDIA reported five times faster inference with up to 30% lower agentic task cost. Crusoe also signaled an upcoming technical session on operating Slurm and Kubernetes at scale for large AI teams and continued to build its brand through ecosystem events, including a London AI gathering and an unofficial CVPR 2026 afterparty focused on multimodal reinforcement learning and frontier GPU infrastructure.

INDEX

SECTION 1 CRUSOE PROFILE

SECTION 2 CRUSOE TOP MANAGEMENT

SECTION 1 CRUSOE PROFILE

1.1 ACTIVITIES

Crusoe has pioneered infrastructure that taps into stranded energy - methane being flared or excess production from clean and renewable sources - to power the compute resources we need to drive our shared progress and reduce its environmental impact.

1.2 SUMMARY

PermID: 5068334410

Website: https://www.crusoe.ai/

Address:

1641 California Street Suite 400 Denver, Colorado 80202 United States

SECTION 2 CRUSOE TOP MANAGEMENT

NameDesignation

Chase L.CEO & Co-Founder

Cully C.President & Co-Founder

Matthew D.CFO

Tim L.Chief Administrative Officer

Nitin P.Chief Technology Officer

Jamey S.General Counsel

Jamie Z.Controller

Tara G.Chief People Officer

Andrew L.Vice President - Business Development

Fiaz M.Vice President, Business Development

Mariam N.Director, Finance

Bill S.Director, Research & Development

Kyle S.Director, Software Engineering

Phillip A.Director, Project Engineering

Vegim B.Director, Cloud Infrastructure

Hui C.Head of Sustainability

Steve H.Vice President - Power Operations & Engineering

Jill L.Director, People Team

Shayla M.Director, Manufacturing

Debbie M.Director, Operations

Ken P.Vice President - Facilities Engineering & Operations

Scott W.Vice President - Business Development, Renewables and Power

Anna T.Senior Director Supply Chain

Michael D.Senior Director Environmental Health and Safety

Sara A.Head of Public Affairs

Khushboo G.Head of Product Marketing

PermID: 5068334410",289fe966b383e8cac97ce07ca7af5cee1f4fc04efec4051679a4c3f813ce6b67,ok,,4060,2938,0,week4_lseg_html_v1,True,True
2026-06-11 23:31:59.422,2026-06-11,2026-06-11T00:00:00,2026-06-11T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260611:nNRA0uso09:0,newsroom,NS:CNBSTR,"Nvidia Corporation (FRA:NVD) falls in 4 out of last 5 days, 5-day fall of 6.5%; -84c [-0.5%]",,"GERMAN END-OF-DAY STOCK REPORT

SANTA CLARA, Wednesday, June 10 2026 - Nvidia Corporation's (FRA: NVD EUR174.92) stock price decreased 84.0c (0.5%) to close at EUR174.92.

Compared with the DAX Index which fell 199.8 points (0.8%) in the day, the relative price increase was 0.3%. The stock fell in four out of the last 5 trading days, for a 5-day fall of 6.5%.

There were 9,441 shares worth EUR1.7 million ($1.9 million) traded today; the volume was 0.2 times the average daily trading volume of 49,267 shares.

INDEX

SECTION 1 TODAY'S BULLISH SIGNALS

SECTION 2 ONGOING BULLISH PARAMETERS

SECTION 3 TODAY'S BEARISH SIGNALS

SECTION 4

Read more...

ANNEXURE

APPENDIX I DATA & ARCHIVE DOWNLOAD CENTER

GLOSSARY

SECTION 1 TODAY'S BULLISH SIGNALS

1.1 Uptrend

Price/Moving Average Price of 1.23 and positive MACD:

- The Price/MAP 200 for Nvidia Corporation is 1.23. Being higher than 1 is a bullish indicator. It is higher than the Price/MAP 200 for the DAX Index of 1.0, a second bullish indicator. The stock is trading above both its MAPs and the 50-day MAP of EUR169.86 is higher than the 200-day MAP of EUR142.59, a third bullish indicator. The 200-day MAP has increased to EUR142.59, a fourth bullish indicator.

- The Moving Average Convergence Divergence (MACD) indicator of 12-day Exponential Moving Average (EMA) of 182.62 minus the 26-day EMA of 182.18 is positive, suggesting a bullish signal.

SECTION 2 ONGOING BULLISH PARAMETERS

2.1 Present Value of EUR1000 Invested in the Past [3 Mo, 1 Yr, 3 Yrs]; The Best Periods with PVEUR1000 > 1,096

PVEUR1,0003 mo ago1 yr ago3 yrs ago

NVD.FRAEUR1,097EUR1,402EUR4,819

Semiconductors sectorEUR1,534EUR2,541EUR1,833

DAX IndexEUR1,012EUR1,008EUR1,519

2.2 The Best Periods [3 Mo, 1 Yr, 3 Yrs] with Price Change % > 9.6

3-Year price change of 381.9% for Nvidia Corporation outperformed the change of 51.9% in the DAX Index for a relative price change of 330.1%.

Price Change %QuarterYear3 Years

Nvidia Corporation9.740.2381.9

Semiconductors sector53.4156.883.3

DAX Index2.70.251.9

SECTION 3 TODAY'S BEARISH SIGNALS

3.1 Downtrend

The stock traded at a two-month low of EUR174.92 today.

SECTION 4

APPENDIX I DATA & ARCHIVE DOWNLOAD CENTER

NVD: OTHER INFORMATION:

+ PRICE VOLUME CHARTS

+ USD vs EUR EXCHANGE RATE CHARTS IN HTML

GLOSSARY

Disclaimer:",ecdfccbe0ae86b5c8b6578e3fc8431de0b5418b08075af46bf03fe3288f8e453,ok,,3945,2321,0,week4_lseg_html_v1,True,True
2026-06-11 23:13:41.000,2026-06-11,2026-06-11T00:00:00,2026-06-11T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:social:20260611:nTWT98wW5Y:1,social,NS:X,"@nvidia: EC workflows are increasingly defined by the connections between tools, not the tools themselves.

Agentic AI has the potential to streamline everything from early design exploration to visualization by orchestrating work across applications, reducing friction and accelerating https://t.co/Bf0KHsEBTo | @NVIDIARTXSpark Turn a multi-step process into a single workflow, powered by NVIDIA RTX Spark.

See how an agent like @NousResearch Hermes Agent helps transform a concept sketch into a photoreal render, connecting Rhino, @ComfyUI, and @Blender into one seamless workflow so designers can stay https://t.co/uGhUZrnnZi",,"NVIDIA

@nvidia

EC workflows are increasingly defined by the connections between tools, not the tools themselves.

Agentic AI has the potential to streamline everything from early design exploration to visualization by orchestrating work across applications, reducing friction and accelerating

x.com/NVIDIARTXSpark…

NVIDIA RTX Spark

@NVIDIARTXSpark

Turn a multi-step process into a single workflow, powered by NVIDIA RTX Spark.

See how an agent like

@NousResearch

Hermes Agent helps transform a concept sketch into a photoreal render, connecting Rhino,

@ComfyUI

, and

@Blender

into one seamless workflow so designers can stay

pic.x.com/uGhUZrnnZi",3ae6c2f454f04bf8d81cbcf18e6d6a167350205352461ee1f356d5eb284cef94,ok,,11035,659,0,week4_lseg_html_v1,False,False
2026-06-12 23:22:14.812,2026-06-12,2026-06-12T00:00:00,2026-06-12T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260612:nNRA0vafpi:0,newsroom,NS:MEDOUT,TVBS deploys AI translation for NVIDIA GTC Taipei keynote,,"TAIPEI, TAIWAN- Media OutReach Newswire- 12 June 2026- TVBS deployed its self-developed real-time AI translation system during NVIDIA CEO Jensen Huang's keynote at GTC Taipei 2026 on June 1. The in-house technology marked a rare instance of a news organization independently developing live translation for a large-scale broadcast. TVBS deployed its... TAIPEI, TAIWAN - Media OutReach Newswire - 12 June 2026 - TVBS deployed its self-developed real-time AI translation system during NVIDIA CEO Jensen Huang's keynote at GTC Taipei 2026 on June 1. The system delivered near-simultaneous Chinese subtitles that viewers initially mistook for official NVIDIA translations. The in-house technology marked a rare instance of a news organization independently developing live translation for a large-scale broadcast.

TVBS deployed its self-developed real-time AI translation system during NVIDIA CEO Jensen Huang's keynote at GTC Taipei 2026 on June 1.

Online viewers praised the translation quality, with comments including ""The quality of this real-time translation is amazing,"" ""The translation is incredibly fast,"" and ""The live speech recognition quality is surprisingly good."" Some viewers assumed the subtitles came from NVIDIA's official translation team. The achievement demonstrates how Taiwan's media industry is adapting to AI-driven transformation. TVBS is positioning itself as a leader in integrating proprietary AI development with real-world broadcast applications. The company completed optimization and deployment of the system in just nine days — a process that traditionally requires months of dedicated training, according to Andy Yang, manager of TVBS AI Future Technology Department. Yang explained that the biggest challenge in real-time translation lies in balancing ""content accuracy"" with ""reading fluency"" under extremely tight time constraints. Huang's speaking style is highly improvisational and frequently switches between English, Mandarin and Taiwanese, while audience applause and cheering often occur simultaneously. Applying standard off-the-shelf translation software in such an environment would likely result in sentence segmentation errors and unclear semantic interpretation, Yang said. Rather than pursuing ""zero-latency"" translation at all costs, TVBS designed a subtitle presentation mechanism specifically tailored to the keynote format. Prior to the event, the TVBS team conducted extensive cross-platform testing on multiple AI translation models, evaluating latency and error rates. By introducing a carefully calibrated broadcast delay, the system gained additional time to process semantic meaning and contextual alignment. This approach enabled smoother subtitles matching natural Chinese reading habits, Yang said. The team also built a dedicated knowledge base for NVIDIA GTC Taipei, compiling AI industry terminology, product names and technical keywords in advance. This significantly improved translation quality and the accuracy of professional content delivery. TVBS's real-time translation system can be customized based on different broadcasting scenarios, Yang noted. Yang emphasized that the key to the rapid nine-day deployment was cross-department collaboration. Engineering teams handled hardware tuning and signal integration, while internal technical and content teams managed ongoing model training and refinement. TVBS established a collaborative workflow integrating both technology and editorial expertise. Through continuous iteration and adjustment, the team incorporated Taiwanese linguistic nuances and natural Chinese phrasing into the system. This enhanced fluency and readability beyond what generic AI models alone could achieve, ultimately shaping what Yang called a distinct ""TVBS AI style."" The approach reflects the company's ""3T"" philosophy — Truth, Trust and Technology. In his keynote at the Taipei Music Center, Huang focused on AI infrastructure, next-generation computing platforms and NVIDIA's latest technological roadmap. GTC Taipei 2026 attracted significant international attention as AI continues to reshape global industries. Through its own transformation journey, TVBS hopes to help lead Taiwan's media industry into a new era shaped by AI. Hashtag: #TVBS

The issuer is solely responsible for the content of this announcement.",12e16fb4cdf0fd8a3b17024683db010737aa147b8f258239cebacc145cf57bbe,ok,,4534,4322,0,week4_lseg_html_v1,True,True
2026-06-12 23:08:49.641,2026-06-12,2026-06-12T00:00:00,2026-06-12T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260612:nNRA0vaa7r:0,newsroom,NS:TALKMA,The Nvidia Moment For Space,,"Jun 12, 2026

SpaceX's $1.75 trillion IPO marks a 'Nvidia moment' for the space economy.",04094745ef4063aeae015c449ff806993c43d8824a01b35fc3a3efc672366238,too_short,cleaned story has 88 characters (minimum 100),187,88,0,week4_lseg_html_v1,True,False
2026-06-12 23:08:39.243,2026-06-12,2026-06-12T00:00:00,2026-06-12T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260612:nNRA0vaa7f:0,newsroom,NS:TALKMA,"Nvidia Stock Slips Despite China Push, Strong AI Demand Outlook",,"Jun 12, 2026

Nvidia shares dipped slightly despite a strategic push into China with Vera CPUs, targeting a $20 billion revenue opportunity.",02a277509d62834d9b4410aa1978eb497aa1e3f587a96954447b16e8771434ce,ok,,239,140,0,week4_lseg_html_v1,True,True
2026-06-12 23:08:21.090,2026-06-12,2026-06-12T00:00:00,2026-06-12T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260612:nNRA0vabum:0,newsroom,NS:TALKMA,Analysts Keep Hiking Nvidia's Forecast Revenue And Price Targets - Is NVDA Too Cheap?,,"Jun 12, 2026

Analysts are hiking Nvidia price targets as surging free cash flow and a $551 billion revenue outlook for FY 2027 suggest the stock is undervalued.",857e474eba0d69584e1f6eb9ff1bffed753404bca3e72eedde6fca878f4faf06,ok,,260,161,0,week4_lseg_html_v1,True,True
2026-06-12 23:03:01.252,2026-06-12,2026-06-12T00:00:00,2026-06-12T23:59:59,NVDA,NVDA.O,R:NVDA.O and Language:LEN,urn:newsml:newsroom:20260612:nNRA0va8xj:0,newsroom,NS:SOVINV,The Nvidia Moment for Space,,"Jun 12, 2026

Three years ago, Nvidia (Nasdaq: NVDA) became the stock that forced Wall Street to take artificial intelligence seriously.

And I believe we're about to see the same thing happen in space.

Today, Elon Musk's SpaceX went public in what's expected to be the largest IPO in American history. At a reported valuation of roughly $1.75 trillion, it debuted as one of the most valuable companies on Earth.

It's such a significant event that I almost feel legally obligated to write about it.

But while most investors are debating whether SpaceX is worth that much money, I think they're missing the bigger picture.

Because the real story isn't about SpaceX going public.

It's that space is about to become a mainstream market.

The Nvidia Effect

The easiest way to understand what's happening today is to look back at Nvidia.

By the start of 2023, artificial intelligence had become one of the most talked-about technologies on the planet. But many investors still weren't sure how it would become a real business.

Then Nvidia started reporting explosive demand for the chips needed to train and run AI systems.

Image: Nvidia

And suddenly the AI story looked very different.

Investors realized that every chatbot, image generator and AI assistant needed an enormous amount of computing power running behind the scenes.

Which meant AI wasn't just a software story.

It was also a story about data centers, electricity, networking equipment and the companies building the infrastructure to support it.

That changed everything.

Smart investors stopped looking only at AI software companies and started looking at the businesses supplying the digital picks and shovels needed to power the entire industry.

That's exactly the approach I used to identify winners like Advanced Micro Devices (Nasdaq: AMD), Micron Technology (Nasdaq: MU) and Navitas Semiconductor (Nasdaq: NVTS) long before most investors understood how big the AI buildout would become.

And it's the same approach I'm using to think about SpaceX today.

Because while SpaceX may become the face of the space economy, it won't be the only company that benefits from its growth.

Most people think of SpaceX as a rocket company.

Image: SpaceX

That's understandable. The rocket launches are the exciting part.

But investors aren't assigning a $1.75 trillion valuation to SpaceX simply because it knows how to launch things into orbit.

They're assigning that valuation because of everything those launches make possible.

Since 2019, SpaceX has launched more than 9,000 Starlink satellites, creating the largest satellite constellation ever assembled.

Starlink now serves millions of customers across more than 100 countries and territories. The company has become an increasingly important provider of communications services for governments, militaries and businesses around the world.

That's a very different business than simply launching payloads into orbit. In many ways, SpaceX is building the backbone of a new space economy.

And Wall Street is already preparing for it.

Even before SpaceX started trading, some of Wall Street's largest index providers were debating how to handle a company this large.

Nasdaq, which manages the Nasdaq-100, and FTSE Russell, which oversees the Russell family of indexes, recently changed their rules to help giant IPOs like SpaceX enter those indexes more quickly.

S&P Dow Jones, which manages the S&P 500, chose not to.

But the bigger takeaway is that a space company has become large enough to force Wall Street's most important indexes to think about how it fits into their portfolios.

To me, that's one of the clearest signs that space is moving into the financial mainstream.

Remember, Nvidia didn't just create demand for Nvidia. It created demand for the entire infrastructure of AI.

I believe the same thing will happen with space.

A successful SpaceX won't just benefit SpaceX. It'll draw more attention, more research coverage and more investment capital into the broader space economy.

Investors will start looking at the companies building satellites, supplying communications networks, developing defense technologies and helping governments and businesses monitor the Earth from orbit.

And they'll start looking at the companies providing the components, software and infrastructure that make all of those systems work.

My team and I have already prepared for this eventuality.

While most investors focused on rocket launches, we've been researching companies positioned to benefit from the growing commercialization of space.

In many cases, those stocks have been moving long before today's SpaceX IPO.

Here's My Take

Investors who ignored the space sector are already asking if they're too late.

I don't think they are.

But at a reported valuation near $1.75 trillion, getting into SpaceX won't be cheap. The company still has losses. Some of its most ambitious plans remain unproven. And any stock tied to this much excitement can become volatile very quickly.

I'm less interested in what SpaceX does next week than what happens over the next decade.

Because some analysts believe this market could eventually be worth more than $1 trillion.

And if they're right, then today's IPO may be remembered for much more than creating one of the world's most valuable companies.

After all, Nvidia forced Wall Street to take AI infrastructure seriously.

And I believe SpaceX could be the catalyst that launches the space economy into the financial mainstream.

Regards,

Ian King Chief Strategist,  Banyan Hill Publishing

Editor's Note:  We'd love to hear from you!

If you want to share your thoughts or suggestions about the  Daily Disruptor , or if there are any specific topics you'd like us to cover, just send an email to dailydisruptor@banyanhill.com.

Don't worry, we won't reveal your full name in the event we publish a response. So feel free to comment away!",1150ddeed09036f7792b5f562f90729f362e3f4d7678a59680f3a8aa74c43b59,ok,,7718,5929,0,week4_lseg_html_v1,True,True
